# ml mT rr
0.7e+02 1.2e+02 5.00e-08
0.8e+02 1.2e+02 5.00e-08
0.9e+02 1.2e+02 5.00e-08
1.05e+02 1.2e+02 5.00e-08
1.1e+02 1.2e+02 5.00e-08
